Well,PHIE,SWE,Reservoir
Demo_Well_12,0.16014,1.0,VENUS
Demo_Well_12,0.1837,0.46151,VENUS
Demo_Well_12,0.20104,0.46309,VENUS
Demo_Well_12,0.21131,0.47224,VENUS
Demo_Well_12,0.20791,0.48885,VENUS
Demo_Well_12,0.19702,0.51555,VENUS
Demo_Well_12,0.18244,0.55288,VENUS
Demo_Well_12,0.15711,0.58754,VENUS
Demo_Well_12,0.12157,1.0,VENUS
Demo_Well_12,0.11583,1.0,VENUS
Demo_Well_12,0.15448,1.0,VENUS
Demo_Well_12,0.17914,0.63921,VENUS
Demo_Well_12,0.18997,0.61969,VENUS
Demo_Well_12,0.19234,0.61908,VENUS
Demo_Well_12,0.17384,0.65072,VENUS
Demo_Well_12,0.15063,1.0,VENUS
Demo_Well_12,0.11836,1.0,VENUS
Demo_Well_12,0.14669,1.0,VENUS
Demo_Well_12,0.1935,0.54035,VENUS
Demo_Well_12,0.23019,0.51316,VENUS
Demo_Well_12,0.24005,0.49165,VENUS
Demo_Well_12,0.24081,0.48944,VENUS
Demo_Well_12,0.22971,0.52157,VENUS
Demo_Well_12,0.21328,0.58096,VENUS
Demo_Well_12,0.1964,0.66124,VENUS
Demo_Well_12,0.16692,0.75057,VENUS
Demo_Well_12,0.13924,0.85482,VENUS
Demo_Well_12,0.11293,1.0,VENUS
Demo_Well_3,0.11253,1.0,VENUS
Demo_Well_3,0.11344,1.0,VENUS
Demo_Well_3,0.11171,1.0,VENUS
Demo_Well_3,0.11368,1.0,VENUS
Demo_Well_3,0.12073,1.0,VENUS
Demo_Well_3,0.12058,1.0,VENUS
Demo_Well_3,0.11107,1.0,VENUS
Demo_Well_3,0.10441,1.0,VENUS
Demo_Well_3,0.10308,1.0,VENUS
Demo_Well_3,0.10423,1.0,VENUS
Demo_Well_3,0.10572,1.0,VENUS
Demo_Well_3,0.10838,1.0,VENUS
Demo_Well_3,0.11525,1.0,VENUS
Demo_Well_3,0.11728,1.0,VENUS
Demo_Well_3,0.10665,1.0,VENUS
Demo_Well_3,0.09884,1.0,VENUS
Demo_Well_3,0.1179,1.0,VENUS
Demo_Well_3,0.15673,1.0,VENUS
Demo_Well_3,0.21177,0.79762,VENUS
